CODMUNI;MINMDT;MAXMDT;RANGEMDT;MEANMDT;STDMDT;MINPENDI;MAXPENDI;RANGEPENDI;MEANPENDI;STDPENDI
47115;749;851;102;832.981846;19.651399;0;20.415586;20.415586;2.058341;3.083809
47116;727;904;177;836.064126;64.699002;0;19.793879;19.793879;2.619584;3.08284
47117;735;878;143;814.075159;51.879748;0;22.196609;22.196609;3.797289;4.093827
47124;735;809;74;775.795864;17.671425;0;7.934779;7.934779;1.832028;1.30904
47121;656;749;93;690.014728;22.976914;0;12.850191;12.850191;1.660208;1.533948
47125;705;741;36;718.270027;6.44196;0;3.737038;3.737038;0.888834;0.537291
47126;780;866;86;810.27995;24.707771;0;8.373306;8.373306;1.815212;1.422674
49029;691;801;110;726.797521;26.143689;0;8.44017;8.44017;1.631361;1.266814
47122;719;872;153;803.924278;46.937719;0;20.083622;20.083622;2.231373;2.838137
47123;719;788;69;737.677903;12.225908;0;7.905189;7.905189;1.109007;0.954059
47129;718;893;175;838.633796;62.33446;0;24.097986;24.097986;2.676276;4.224708
47130;761;862;101;834.60876;27.960122;0;16.040306;16.040306;1.949327;2.19024
47131;769;930;161;864.5762;53.696079;0;23.020407;23.020407;5.153028;4.925784
47132;736;786;50;762.503224;7.644998;0;5.547724;5.547724;1.109961;0.842441
47133;700;859;159;771.232916;54.172769;0;24.392347;24.392347;3.600229;3.895254
47137;783;909;126;868.266389;36.74074;0;22.515686;22.515686;4.718234;4.638394
47138;722;767;45;746.309353;7.793837;0;3.558815;3.558815;0.823556;0.517109
47139;671;783;112;730.19703;25.771203;0;10.886733;10.886733;2.061065;1.585155
47141;755;812;57;770.180098;7.738567;0;4.498118;4.498118;0.870227;0.683557
47142;741;837;96;811.95339;26.299466;0;19.163523;19.163523;2.707771;3.22045
47143;792;914;122;902.900274;12.560426;0;23.701239;23.701239;1.580163;2.897641
47144;695;875;180;818.084595;51.002739;0;30.076107;30.076107;4.378772;4.528384
47145;752;885;133;853.630834;27.585957;0;23.41007;23.41007;3.138278;3.830235
47146;666;707;41;682.304029;9.278114;0;8.825166;8.825166;1.389194;1.419688
47148;694;750;56;720.181832;11.428098;0;9.204906;9.204906;1.037031;0.92584
47149;743;840;97;808.927307;30.223134;0;15.255506;15.255506;2.929375;2.922162
47150;639;726;87;674.992967;24.85745;0;13.882824;13.882824;1.675111;2.199819
47153;747;837;90;790.655435;24.726973;0;6.561162;6.561162;1.540982;0.900435
47154;735;886;151;806.850269;48.189185;0;22.577118;22.577118;6.050264;5.442149
47155;682;862;180;734.928986;53.517745;0;20.171314;20.171314;3.313246;3.860329
47156;721;793;72;744.520331;10.638209;0;5.026472;5.026472;0.886523;0.661688
47157;711;875;164;747.308466;37.821271;0;24.206097;24.206097;3.742152;4.389222
47162;736;772;36;751.819101;7.63678;0;4.649595;4.649595;1.081587;0.643149
47158;669;784;115;736.638745;23.707388;0;7.75356;7.75356;1.520186;1.224747
47159;678;790;112;735.784043;23.700382;0;8.306753;8.306753;1.743541;1.358543
47163;735;832;97;787.825376;29.420311;0;13.03931;13.03931;2.173843;1.92978
47160;671;781;110;728.928818;22.623599;0;10.407037;10.407037;2.197737;1.462922
47164;712;843;131;755.518629;44.588963;0;17.049419;17.049419;1.389277;1.954731
49088;725;800;75;765.388945;14.905818;0;5.522252;5.522252;1.641131;0.73178
47161;673;846;173;729.035593;53.078841;0;19.382736;19.382736;2.780457;3.060287
47180;760;903;143;862.828358;37.594389;0;26.768114;26.768114;5.172515;5.652556
