CODMUNI;MINDISN10M;MAXDISN10M;RANGEDISN10M;MEANDISN10M;STDDISN10M
9074;5370.296294;10337.32243;4967.026135;7742.638926;1252.076813
9056;27720.82697;36496.04417;8775.217199;32345.96908;2314.140641
9057;4810.336129;8462.955821;3652.619692;6542.140846;857.501385
9075;11614.0512;15099.46743;3485.416231;13343.65328;860.878665
9059;48.422865;11920.74082;11872.31795;4555.238586;2280.659853
9060;21651.69316;28268.56748;6616.874323;25356.4677;1367.527547
9064;19439.01057;30434.6679;10995.65733;24573.0657;2508.007681
9065;5220.969989;10536.30887;5315.338882;7965.43847;1346.742134
9066;32032.02712;36039.87747;4007.850354;33994.36369;962.013754
9067;47787.03492;53282.97871;5495.943795;50431.18088;1390.671412
9071;26038.22494;35009.8009;8971.575966;30936.54628;2035.04026
9072;6151.024557;13062.03377;6911.009209;10074.75308;1562.061278
9073;4358.796938;7641.082932;3282.285994;5992.585567;722.482219
9083;27316.68622;32715.76642;5399.080198;29948.25227;1041.607069
9084;47562.58281;53677.57959;6114.996787;50943.36025;1466.294216
9085;3910.420671;10393.75983;6483.339154;7396.406334;1548.304995
24018;36166.62247;45553.50424;9386.881767;41567.2343;1901.677204
9086;7662.564065;13000.33021;5337.766146;10685.80465;1267.924932
9088;47849.51548;51984.25996;4134.744484;49784.57096;958.838112
9090;37916.90394;42659.45859;4742.554653;40358.20595;1082.439214
9091;29849.7568;40903.71509;11053.95829;36021.58825;2461.888344
9093;9454.294819;13985.19618;4530.901365;11975.64592;1031.117026
9094;33863.08705;38645.92184;4782.834791;36496.60035;1105.885434
9095;18501.84303;23153.202;4651.358964;21073.85897;1132.812
9098;19402.34888;29635.03757;10232.6887;24636.59405;2438.65859
9100;27437.80054;31215.88743;3778.086882;29103.48317;869.567791
9101;25524.99462;29558.9108;4033.916179;27550.19562;983.872265
9102;33106.71234;39853.68243;6746.970092;36267.34486;1750.375254
9103;22171.97504;30284.01033;8112.035287;26658.12749;1774.232175
9104;23406.35113;29221.00879;5814.657666;26600.56008;1503.142907
9105;26740.17985;34632.03036;7891.850509;30024.21829;1746.88088
9108;12852.52092;20291.06607;7438.545149;15880.69596;1753.049161
9109;7755.492164;23476.28248;15720.79032;14788.07631;3573.877637
9110;38056.1516;45356.84474;7300.693143;41807.65881;1741.019428
9112;21814.94486;31719.10344;9904.158579;26550.09294;2097.320014
9113;30510.57113;39015.481;8504.909875;34575.25814;2035.454366
9114;19556.33181;24647.63242;5091.300606;22360.9515;1178.17973
9115;19838.3929;22879.93199;3041.539091;21459.97148;677.250669
9117;18855.79944;23787.46637;4931.666924;21071.40546;1117.081203
9119;23860.44655;27417.44889;3557.002339;25736.84487;766.265178
9120;8560.948419;16850.98233;8290.033909;12764.17894;2450.949436
9122;26863.50049;34466.51235;7603.011856;30596.23658;1798.453565
9123;34228.80916;36776.84012;2548.030958;35477.03486;629.699341
34132;24721.21536;34721.87091;10000.65555;29297.28756;2528.65755
9124;27911.24825;42582.11607;14670.86782;35019.44371;3126.686883
9128;10493.35362;14159.64126;3666.287641;12240.8449;820.711948
9166;22372.34546;29730.85719;7358.511724;26212.32343;1756.046215
9125;12911.85428;22242.41085;9330.556574;17371.47297;1951.25788
9127;24727.10763;32487.56705;7760.459415;28815.29509;2093.61597
9129;33753.28989;46060.08156;12306.79167;40482.05549;2854.934014
9130;27839.80675;32971.05968;5131.252923;30549.45801;1195.60548
9131;3196.035905;8279.110686;5083.074781;6004.049256;1143.75377
9134;23352.24383;33816.35072;10464.10689;29343.27533;2043.189564
9135;22483.36662;25704.7423;3221.375674;23969.43656;822.605497
9136;12828.77316;19118.84387;6290.070711;15911.72517;1396.657451
9167;14507.94566;22423.35044;7915.404785;18562.61348;1862.432868
9137;6011.178063;12397.88757;6386.709505;9118.662617;1474.038141
9138;17315.39079;20239.07503;2923.68424;18780.84544;720.36603
9139;13474.35124;18780.26932;5305.918088;16042.57583;1245.933565
9162;14289.87071;20644.24162;6354.370914;17197.94391;1498.996475
9140;13017.46154;24817.08495;11799.62341;18794.91219;3085.394748
9141;3271.41386;6975.934406;3704.520546;5072.580638;846.762543
9143;22327.1584;33430.17452;11103.01612;28857.17879;2597.863361
9151;5482.660953;17266.89807;11784.23712;11257.28873;2884.09611
9152;8103.620284;15686.29197;7582.671684;12539.31226;1658.989086
9163;41959.20926;54279.97117;12320.76191;47999.48789;3012.751343
9164;12687.16544;21967.56422;9280.39878;17565.5173;2608.990651
9179;32192.02382;38332.67318;6140.649365;34789.2571;1299.663756
9168;14821.12404;20112.06843;5290.944387;17532.6842;1287.248785
9169;33894.52584;39382.78612;5488.260286;37394.73447;1177.743492
9170;9840.253478;16531.00694;6690.753461;13806.75773;1484.54565
9172;17960.51995;29031.68844;11071.16849;23535.16906;2696.40546
9173;52586.80603;60435.20321;7848.397177;56434.90255;1954.102006
