CODMUNI;MINCARRETN;MAXCARRETN;RANGECARRETN;MEANCARRETN;STDCARRETN;MINDISAUT;MAXDISAUT;RANGEDISAUT;MEANDISAUT;STDDISAUT;MINDISFERR;MAXDISFERR;RANGEDISFERR;MEANDISFERR;STDDISFERR
22086;8.720384;2567.154103;2558.43372;1216.323199;609.124954;6092.954505;13387.78339;7294.828881;8780.967718;1680.328115;35.306945;3408.072209;3372.765264;1352.338605;643.174072
22089;25.643609;4752.734527;4727.090918;2028.577504;896.269162;14887.60037;22265.52814;7377.927771;18138.2269;1600.736514;14459.62286;21664.01846;7204.395598;17732.93897;1501.491086
22090;12512.28899;19158.66515;6646.376166;15848.01866;1648.7571;12692.77728;20729.28283;8036.505544;16299.31537;1784.832485;27237.44731;35766.9541;8529.506795;31677.24563;2002.035292
22099;703.292836;10934.18456;10230.89172;5373.139715;2334.749568;36.023429;10902.05771;10866.03428;5379.293158;2312.435573;2591.454871;11053.09015;8461.635277;6387.842258;2004.927524
22102;22.813374;3402.206906;3379.393532;1569.51455;777.509589;10286.81975;17384.96243;7098.142688;14638.83743;1697.01846;15445.40943;21276.73747;5831.328038;18964.48315;1401.092829
22106;9978.086385;18548.36243;8570.276047;13938.14675;2219.80205;9736.319301;18151.77343;8415.454128;13567.91504;2195.761259;25286.95567;30774.85318;5487.897508;28050.66033;1204.330881
22107;3583.310796;17366.46342;13783.15262;9673.775811;2975.456379;26883.43902;40264.9078;13381.46878;33230.93822;2900.591782;26117.26019;39346.50992;13229.24973;32513.96156;2897.455935
22103;382.960206;8217.126461;7834.166255;3963.167876;1465.656488;5841.879651;17379.13958;11537.25993;11655.84908;2927.952238;10854.42032;20447.33461;9592.914293;15467.72297;2229.127574
22110;2236.715079;10156.57691;7919.861828;6340.589342;1916.378371;1969.550058;13601.66472;11632.11466;7405.644844;2723.805585;6637.537171;16120.65918;9483.122008;10625.6175;2182.21301
22168;7289.183808;12824.35972;5535.175914;9636.557589;1220.174042;32085.78443;39476.76107;7390.976646;36071.44898;1605.857602;41547.4636;48380.84059;6833.376983;45383.9705;1453.178351
22105;34.122292;10628.46012;10594.33783;5504.100631;2524.7641;19033.40787;37520.53134;18487.12347;28322.66885;3705.696611;18736.97458;37334.58316;18597.60858;27919.02549;3698.73056
22109;16.980946;7596.840544;7579.859598;2890.614028;1756.75268;14781.05947;32725.07821;17944.01874;24619.6559;4063.670624;14553.56443;32655.32601;18101.76158;24504.45036;4083.907354
22176;12.847479;3491.012699;3478.16522;1521.710549;748.667524;25.612041;3362.69526;3337.08322;1781.788338;748.604446;18786.84458;22470.80343;3683.958844;20676.65591;902.068876
22111;22.931425;8561.979696;8539.048271;3109.706609;1595.766391;44506.13544;58350.60029;13844.46485;50527.66043;3323.531965;50623.07907;60725.25098;10102.17191;55974.38917;2217.478286
22112;11.283176;12614.58619;12603.30301;5797.161386;3066.625363;10.453298;17436.73155;17426.27825;5900.290395;4185.704573;10293.98571;33953.55139;23659.56567;22182.43158;4871.771952
22122;3993.843122;8466.310995;4472.467873;6521.284958;1092.80628;15481.8617;20236.21437;4754.352666;18291.70921;1144.57727;16789.3392;20874.69945;4085.360248;18722.41429;1039.261614
22113;15.61542;14258.06692;14242.4515;6601.511061;3658.060842;28110.4024;56025.38815;27914.98575;41629.07517;6537.763728;36359.46152;57351.86038;20992.39886;48711.00016;4596.051563
22114;14140.46203;25221.80924;11081.34721;20218.99006;2582.17127;55786.96618;68960.60725;13173.64107;61306.98139;3107.867497;55053.24858;68245.81304;13192.56446;60596.65065;3065.734542
