codMuni;CCAA;Nombre;CodProv;NombreProvincia;NombreCCAA;NHOSPI;NFARMA;NCENTEDUC;NATURGHOSP;NATPRIMARIA;DISTHOSPIT;DISTFARMA;DISTCEDUC;DISTCURGH;DISTATPRIM
5191;7;Pradosegar;5;Ávila;Castilla y León;0;0;0;0;2;34483.00594;6013.224284;14812.3851;7447.276426;1042.841505
5192;7;Puerto Castilla;5;Ávila;Castilla y León;0;0;0;0;2;73304.96496;2171.824452;13371.17013;13501.74829;3083.723663
5193;7;Rasueros;5;Ávila;Castilla y León;0;0;0;0;2;29696.17865;2141.171021;5573.148311;9306.230055;1879.181942
5194;7;Riocabado;5;Ávila;Castilla y León;0;0;0;0;1;21348.26123;6304.459752;13793.30673;7448.362867;1689.904701
5195;7;Riofrío;5;Ávila;Castilla y León;0;0;0;0;2;13486.44477;5941.357366;10040.6683;7605.775182;3158.812867
5196;7;Rivilla de Barajas;5;Ávila;Castilla y León;0;0;0;0;1;30718.08204;6436.475665;4309.909926;6539.82379;2558.609037
5197;7;Salobral;5;Ávila;Castilla y León;0;0;0;0;1;10443.23127;7771.128689;9811.225951;6330.613798;1065.271344
5198;7;Salvadiós;5;Ávila;Castilla y León;0;0;0;0;1;35262.7141;25173.86142;8306.651013;9305.612457;2212.149803
5199;7;San Bartolomé de Béjar;5;Ávila;Castilla y León;0;0;0;0;1;59668.07712;8365.898107;5507.543062;8298.231242;2324.673302
5200;7;San Bartolomé de Corneja;5;Ávila;Castilla y León;0;0;0;0;2;57532.93726;3622.292766;5359.919518;5244.943831;1056.097449
5201;7;San Bartolomé de Pinares;5;Ávila;Castilla y León;0;1;2;0;1;20828.73901;18347.09688;4316.761044;9443.599811;4276.377676
5204;7;Sanchidrián;5;Ávila;Castilla y León;0;0;4;0;1;20110.86266;12051.09385;1991.873832;12710.97804;1847.608902
5205;7;Sanchorreja;5;Ávila;Castilla y León;0;0;0;0;1;16308.63715;5146.720818;13530.47673;11619.56822;2196.947488
5206;7;San Esteban de los Patos;5;Ávila;Castilla y León;0;0;0;0;1;8018.113632;7388.920249;10094.11719;10318.44558;1422.346925
5207;7;San Esteban del Valle;5;Ávila;Castilla y León;0;0;0;0;1;46175.35891;12619.56261;5767.247494;6355.431659;2477.260667
5208;7;San Esteban de Zapardiel;5;Ávila;Castilla y León;0;0;0;0;1;16169.38988;7052.78534;14056.37625;8598.511919;1618.227841
5209;7;San García de Ingelmos;5;Ávila;Castilla y León;0;0;0;0;1;37724.92644;16923.1388;15012.66211;10228.89243;2735.336709
5210;7;San Juan de la Encinilla;5;Ávila;Castilla y León;0;0;0;0;1;21918.59741;16467.67723;11519.25355;4511.805927;1743.313012
5211;7;San Juan de la Nava;5;Ávila;Castilla y León;0;0;0;0;1;20362.06689;2973.681644;4682.733501;4998.573807;3223.778067
5212;7;San Juan del Molinillo;5;Ávila;Castilla y León;0;0;0;0;3;23949.46758;7354.640147;9076.054036;8080.588317;1816.766983
5213;7;San Juan del Olmo;5;Ávila;Castilla y León;0;0;0;0;1;31224.2168;9306.435121;16929.08765;6514.783332;2669.451561
5214;7;San Lorenzo de Tormes;5;Ávila;Castilla y León;0;0;0;0;2;64560.30821;9884.74269;3360.414372;3367.09263;1104.284719
5215;7;San Martín de la Vega del Alberche;5;Ávila;Castilla y León;0;1;0;0;1;47769.59109;4382.63355;6835.907617;8374.107692;3059.728841
5216;7;San Martín del Pimpollar;5;Ávila;Castilla y León;0;0;0;0;2;43758.19714;7093.55493;6473.689283;7829.646272;2609.771507
5217;7;San Miguel de Corneja;5;Ávila;Castilla y León;0;0;0;0;1;52504.75835;15437.65438;5265.606783;5144.3625;1166.828633
5218;7;San Miguel de Serrezuela;5;Ávila;Castilla y León;0;0;0;0;1;45287.31703;10488.11811;18286.48489;20738.61804;2908.30108
5219;7;San Pascual;5;Ávila;Castilla y León;0;0;0;0;1;17378.27294;12230.7656;13077.9466;13993.67161;1733.654798
